epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.698,1.39236,1.5904,1.71616,0.65112,0.28467,0.45887,0.16919,2.56084,2.3823,2.99738,0.00033209,0.00033209,0.0671231
2,329.151,1.33428,1.18445,1.64244,0.80756,0.79201,0.84035,0.44741,1.66669,1.16328,2.02141,0.000658835,0.000658835,0.0341165
3,490.918,1.31422,1.09751,1.62462,0.89467,0.9168,0.92528,0.5766,1.3524,0.87499,1.72052,0.000978981,0.000978981,0.00110336
4,653.783,1.29571,1.07118,1.6153,0.92373,0.89898,0.93227,0.594,1.39185,0.83958,1.69222,0.0009703,0.0009703,0.0009703
5,815.834,1.24393,0.99367,1.56511,0.86337,0.89152,0.91768,0.58895,1.283,0.90471,1.62297,0.0009604,0.0009604,0.0009604
6,977.409,1.21927,0.95771,1.54681,0.93972,0.92822,0.94511,0.52085,1.65347,0.81798,1.89221,0.0009505,0.0009505,0.0009505
7,1136.72,1.2178,0.95023,1.54058,0.94861,0.94845,0.96279,0.665,1.19432,0.67216,1.54484,0.0009406,0.0009406,0.0009406
8,1298.19,1.18581,0.89608,1.50357,0.91797,0.92193,0.95379,0.59713,1.43082,0.7727,1.69888,0.0009307,0.0009307,0.0009307
9,1459.28,1.15567,0.86518,1.4873,0.96525,0.96411,0.97481,0.65381,1.3099,0.61313,1.59852,0.0009208,0.0009208,0.0009208
10,1621.42,1.13446,0.84468,1.47048,0.95543,0.96166,0.97143,0.65761,1.24763,0.60848,1.55549,0.0009109,0.0009109,0.0009109
11,1783.21,1.11576,0.8293,1.46233,0.94945,0.96507,0.97689,0.64064,1.31996,0.63469,1.63779,0.000901,0.000901,0.000901
12,1945.09,1.10998,0.81921,1.45176,0.97181,0.9739,0.98039,0.6011,1.45437,0.6426,1.76647,0.0008911,0.0008911,0.0008911
13,2106.73,1.07791,0.80342,1.44291,0.9678,0.96656,0.98004,0.7541,0.93938,0.508,1.38024,0.0008812,0.0008812,0.0008812
14,2268.19,1.06766,0.76721,1.42597,0.95811,0.97012,0.97878,0.76234,0.91405,0.54131,1.33979,0.0008713,0.0008713,0.0008713
15,2429.87,1.05627,0.77353,1.41996,0.96533,0.97658,0.9818,0.75647,0.9462,0.48747,1.36029,0.0008614,0.0008614,0.0008614
16,2591.2,1.0402,0.75153,1.40859,0.9576,0.97643,0.98641,0.78011,0.85593,0.48435,1.30805,0.0008515,0.0008515,0.0008515
17,2752.91,1.04234,0.7664,1.40477,0.97952,0.97553,0.98364,0.75038,0.96299,0.51101,1.38125,0.0008416,0.0008416,0.0008416
18,2914.74,1.01434,0.74789,1.38345,0.97071,0.97306,0.98713,0.77989,0.88436,0.50778,1.33711,0.0008317,0.0008317,0.0008317
19,3076.55,1.00188,0.72877,1.37494,0.96864,0.97798,0.98145,0.71332,1.10159,0.50136,1.44928,0.0008218,0.0008218,0.0008218
20,3238.81,0.99932,0.70799,1.37393,0.97474,0.9759,0.98348,0.77949,0.85456,0.46924,1.28517,0.0008119,0.0008119,0.0008119
21,3398.5,1.00002,0.73068,1.38805,0.97442,0.9845,0.98873,0.82212,0.71695,0.43007,1.22145,0.000802,0.000802,0.000802
22,3559.23,0.99014,0.70885,1.36422,0.97802,0.98013,0.98593,0.8187,0.74357,0.43559,1.22269,0.0007921,0.0007921,0.0007921
23,3718.47,0.97366,0.68187,1.35578,0.9828,0.97855,0.98846,0.78055,0.8836,0.44702,1.31067,0.0007822,0.0007822,0.0007822
24,3879.27,0.98414,0.68831,1.36265,0.97197,0.98124,0.98639,0.78541,0.86823,0.46061,1.29337,0.0007723,0.0007723,0.0007723
25,4037.85,0.96407,0.6845,1.35038,0.97421,0.98615,0.9919,0.81417,0.78264,0.42382,1.24192,0.0007624,0.0007624,0.0007624
26,4197.95,0.94742,0.6741,1.3306,0.98206,0.98695,0.9913,0.816,0.75437,0.43154,1.23882,0.0007525,0.0007525,0.0007525
27,4359.87,0.94348,0.6767,1.33054,0.979,0.9885,0.98511,0.79867,0.8233,0.42223,1.27303,0.0007426,0.0007426,0.0007426
28,4521.78,0.94556,0.67366,1.3345,0.98236,0.99103,0.99098,0.83606,0.70061,0.39764,1.1935,0.0007327,0.0007327,0.0007327
29,4683.17,0.94309,0.67214,1.33339,0.98269,0.99021,0.99097,0.84661,0.67975,0.38865,1.17706,0.0007228,0.0007228,0.0007228
30,4844.44,0.94366,0.67027,1.33207,0.98293,0.98661,0.99166,0.81998,0.74118,0.40315,1.21231,0.0007129,0.0007129,0.0007129
31,5005.43,0.94379,0.65425,1.33142,0.98042,0.98032,0.98854,0.8241,0.74233,0.41649,1.21911,0.000703,0.000703,0.000703
32,5167.36,0.94203,0.66829,1.32965,0.96781,0.97553,0.9851,0.82533,0.69566,0.43465,1.20648,0.0006931,0.0006931,0.0006931
33,5328.62,0.92252,0.64755,1.31092,0.98377,0.98369,0.99264,0.82139,0.75085,0.41964,1.21555,0.0006832,0.0006832,0.0006832
34,5491.06,0.91567,0.64877,1.31062,0.97552,0.9894,0.9893,0.82243,0.72587,0.41442,1.20121,0.0006733,0.0006733,0.0006733
35,5653.94,0.91634,0.65584,1.31427,0.98852,0.98777,0.99113,0.83426,0.71097,0.37867,1.18732,0.0006634,0.0006634,0.0006634
36,5815.32,0.90421,0.6484,1.31187,0.97658,0.98532,0.98985,0.85466,0.62609,0.38461,1.13115,0.0006535,0.0006535,0.0006535
37,5977.84,0.8828,0.60808,1.28736,0.987,0.99113,0.99259,0.85156,0.65158,0.36275,1.14293,0.0006436,0.0006436,0.0006436
38,6138.82,0.88908,0.63647,1.2972,0.98776,0.98753,0.993,0.83507,0.72436,0.39836,1.18002,0.0006337,0.0006337,0.0006337
39,6301.91,0.91751,0.64047,1.31275,0.98702,0.99271,0.99249,0.84633,0.69892,0.37556,1.15543,0.0006238,0.0006238,0.0006238
40,6463.19,0.9009,0.64493,1.3108,0.98224,0.99218,0.99346,0.86861,0.606,0.35978,1.11955,0.0006139,0.0006139,0.0006139
41,6624.5,0.86397,0.61366,1.2755,0.98374,0.987,0.99097,0.84313,0.65807,0.42221,1.16223,0.000604,0.000604,0.000604
42,6784.81,0.88449,0.61047,1.29282,0.98439,0.99347,0.99209,0.86165,0.63249,0.36726,1.13696,0.0005941,0.0005941,0.0005941
43,6947.11,0.87577,0.61529,1.28444,0.98805,0.9894,0.99249,0.86168,0.62699,0.35835,1.12551,0.0005842,0.0005842,0.0005842
44,7109.74,0.8583,0.5963,1.27026,0.98456,0.98823,0.99292,0.8634,0.61779,0.35554,1.11498,0.0005743,0.0005743,0.0005743
45,7273.19,0.84932,0.60874,1.26547,0.96615,0.98532,0.99061,0.88238,0.52456,0.49101,1.07883,0.0005644,0.0005644,0.0005644
46,7436.77,0.84218,0.60059,1.26413,0.98379,0.99026,0.99064,0.88142,0.55575,0.35375,1.08218,0.0005545,0.0005545,0.0005545
47,7597.05,0.85971,0.60437,1.27921,0.98279,0.99021,0.98897,0.86041,0.6299,0.34525,1.13767,0.0005446,0.0005446,0.0005446
48,7758.25,0.83268,0.59219,1.25984,0.98611,0.99021,0.99194,0.87329,0.56715,0.38601,1.08756,0.0005347,0.0005347,0.0005347
49,7921.58,0.83561,0.59809,1.26865,0.99377,0.98777,0.99376,0.87365,0.61132,0.33828,1.1123,0.0005248,0.0005248,0.0005248
50,8084.38,0.82838,0.60384,1.25391,0.98939,0.98864,0.99189,0.88134,0.56515,0.33413,1.08008,0.0005149,0.0005149,0.0005149
51,8246.62,0.8041,0.58191,1.24115,0.98921,0.99184,0.99299,0.90011,0.51355,0.3325,1.05758,0.000505,0.000505,0.000505
52,8408.39,0.79644,0.58117,1.24029,0.99146,0.99103,0.99255,0.89584,0.53441,0.35341,1.06896,0.0004951,0.0004951,0.0004951
53,8569.36,0.79148,0.57824,1.23442,0.99024,0.99322,0.99251,0.88937,0.54706,0.31599,1.07244,0.0004852,0.0004852,0.0004852
54,8731.4,0.76886,0.56194,1.22068,0.99019,0.98816,0.99225,0.88839,0.5367,0.33269,1.07022,0.0004753,0.0004753,0.0004753
55,8892.73,0.77084,0.56497,1.22646,0.98701,0.99152,0.99116,0.88937,0.54829,0.33252,1.06424,0.0004654,0.0004654,0.0004654
56,9054.35,0.75264,0.55837,1.21766,0.98944,0.99341,0.99284,0.88345,0.57243,0.31808,1.08314,0.0004555,0.0004555,0.0004555
57,9214.41,0.74775,0.56205,1.21681,0.98863,0.99251,0.99275,0.90307,0.51698,0.30916,1.03676,0.0004456,0.0004456,0.0004456
58,9375.76,0.74758,0.55108,1.21381,0.99216,0.99184,0.99382,0.88953,0.54847,0.29974,1.06219,0.0004357,0.0004357,0.0004357
59,9535.66,0.74843,0.55563,1.21754,0.99168,0.9894,0.99342,0.89449,0.53969,0.30235,1.05982,0.0004258,0.0004258,0.0004258
60,9697.68,0.74357,0.54183,1.21735,0.991,0.99511,0.99297,0.90983,0.48111,0.2944,1.02393,0.0004159,0.0004159,0.0004159
61,9860.24,0.72769,0.52866,1.20375,0.98945,0.9942,0.9929,0.89647,0.53556,0.29259,1.05281,0.000406,0.000406,0.000406
62,10022.5,0.72822,0.54791,1.20427,0.99266,0.99332,0.99374,0.90286,0.51193,0.29385,1.03572,0.0003961,0.0003961,0.0003961
63,10183.6,0.72814,0.54813,1.19887,0.99093,0.99347,0.99251,0.91743,0.46722,0.29441,1.01524,0.0003862,0.0003862,0.0003862
64,10345,0.71334,0.54863,1.1972,0.99345,0.99002,0.99304,0.90115,0.52345,0.29984,1.05582,0.0003763,0.0003763,0.0003763
65,10508.1,0.72249,0.54462,1.20626,0.99346,0.99135,0.99224,0.88721,0.55304,0.2996,1.05595,0.0003664,0.0003664,0.0003664
66,10670.3,0.70177,0.53683,1.18422,0.98826,0.99347,0.99275,0.89637,0.52023,0.28972,1.04281,0.0003565,0.0003565,0.0003565
67,10831.6,0.69449,0.53678,1.18891,0.98784,0.99402,0.99161,0.907,0.4869,0.28215,1.02268,0.0003466,0.0003466,0.0003466
68,10994.4,0.70429,0.53696,1.19421,0.99102,0.99052,0.99171,0.90729,0.48494,0.29056,1.02361,0.0003367,0.0003367,0.0003367
69,11154.3,0.68646,0.5194,1.18018,0.99429,0.99433,0.99357,0.92481,0.45215,0.27032,1.00584,0.0003268,0.0003268,0.0003268
70,11316.9,0.681,0.51367,1.17494,0.99311,0.99347,0.9931,0.92295,0.45033,0.27033,1.00312,0.0003169,0.0003169,0.0003169
71,11476.8,0.68115,0.51339,1.17358,0.98928,0.99511,0.99275,0.92434,0.42758,0.27092,0.99145,0.000307,0.000307,0.000307
72,11636.7,0.68307,0.52269,1.17433,0.9914,0.99429,0.99382,0.93168,0.42511,0.26411,0.9878,0.0002971,0.0002971,0.0002971
73,11798.4,0.67,0.51147,1.16914,0.99267,0.99437,0.99362,0.92655,0.42916,0.26711,0.98416,0.0002872,0.0002872,0.0002872
74,11960,0.67253,0.51421,1.16926,0.99013,0.99511,0.99337,0.93237,0.40763,0.26638,0.97482,0.0002773,0.0002773,0.0002773
75,12122,0.66251,0.52077,1.16223,0.98945,0.99429,0.99299,0.92035,0.44088,0.26567,0.98367,0.0002674,0.0002674,0.0002674
76,12282.2,0.65672,0.51455,1.15906,0.99428,0.99327,0.994,0.92037,0.46008,0.26613,0.99731,0.0002575,0.0002575,0.0002575
77,12443.6,0.65079,0.49835,1.15659,0.99184,0.99166,0.9934,0.9262,0.42944,0.25947,0.98902,0.0002476,0.0002476,0.0002476
78,12605.5,0.65119,0.49738,1.15883,0.99266,0.99242,0.99288,0.92185,0.43409,0.26338,0.98733,0.0002377,0.0002377,0.0002377
79,12766,0.63209,0.49448,1.14583,0.99188,0.99674,0.99306,0.93401,0.41382,0.25193,0.97568,0.0002278,0.0002278,0.0002278
80,12928.3,0.64139,0.49827,1.15235,0.99193,0.99347,0.99281,0.93442,0.41836,0.25627,0.98201,0.0002179,0.0002179,0.0002179
81,13090.3,0.64205,0.49101,1.14899,0.99027,0.99592,0.99328,0.93105,0.42315,0.24719,0.97807,0.000208,0.000208,0.000208
82,13251.8,0.64041,0.49255,1.15246,0.99224,0.99347,0.99293,0.93979,0.3935,0.24838,0.9666,0.0001981,0.0001981,0.0001981
83,13413.6,0.63706,0.50016,1.15066,0.99078,0.99429,0.99314,0.93677,0.39936,0.25081,0.96559,0.0001882,0.0001882,0.0001882
